League,Teams,Score
International - EURO Final Stage,"['Spain', 'Germany']","['2', '1']"
International - EURO Final Stage,"['Portugal', 'France']","['0', '0']"
International - Copa America,"['Argentina', 'Ecuador']","['1', '1']"
Brazil - Serie A,"['Fluminense', 'Internacional']","['1', '1']"
Brazil - Serie A,"['Corinthians', 'Vitoria']","['3', '2']"
USA - Major League Soccer,"['FC Dallas', 'Portland Timbers']","['3', '2']"
USA - Major League Soccer,"['Colorado Rapids', 'Sporting Kansas City']","['2', '1']"
USA - Major League Soccer,"['LA Galaxy', 'Los Angeles FC']","['1', '2']"
International - Club Friendlies,"['Ajax', 'PEC Zwolle']","['0', '1']"
International - Club Friendlies,"['FC Basel 1893', 'Eintracht Braunschweig']","['1', '1']"
International - Club Friendlies,"['FC Lausanne-Sport', 'Braga']","['1', '3']"
International - Club Friendlies,"['Aktobe', 'Spartak Moscow']","['1', '1']"
International - Club Friendlies,"['Zenit St. Petersburg', 'Talleres']","['1', '0']"
International - Club Friendlies,"['Ayr', 'Celtic']","['1', '1']"
China - Super League,"['Henan FC', 'Shanghai Port']","['0', '1']"
Japan - J. League,"['Sanfrecce Hiroshima', 'Vissel Kobe']","['1', '3']"
Mexico - Liga MX Apertura,"['Puebla', 'Santos Laguna']","['-', '-']"
South Korea - K-League 1,"['Suwon FC', 'Ulsan HD FC']","['1', '1']"
South Korea - K-League 1,"['Incheon United', 'Gimcheon Sangmu']","['1', '1']"
Argentina - Primera B Metropolitana Clausura,"['Argentino de Quilmes', 'Canuelas']","['0', '0']"
Argentina - Primera B Metropolitana Clausura,"['CA Fenix', 'Los Andes']","['0', '0']"
Argentina - Primera B Metropolitana Clausura,"['CA Ferrocarril Midland', 'Villa Dalmine']","['-', '-']"
Belarus - Premier League,"['Torpedo Zhodino', 'Slavia Mozyr']","['3', '0']"
Brazil - Serie C,"['EC Sao Jose', 'Athletic Club']","['0', '1']"
Brazil - Serie B,"['Ceara', 'Santos FC']","['-', '-']"
Faroe Islands - Premier League,"['NSI Runavik', '07 Vestur']","['4', '0']"
Finland - Ykkosliiga,"['JaePS', 'FC KTP']","['0', '0']"
Latvia - Virsliga,"['RFS', 'FK Jelgava']","['7', '0']"
Lithuania - A Lyga,"['FK Kauno Zalgiris', 'Zalgiris Vilnius']","['1', '0']"
Lithuania - A Lyga,"['FA Siauliai', 'FK TransINVEST']","['1', '0']"
Norway - 3. Division Avdeling 1,"['Froeya Fotball', 'Aardal']","['4', '0']"
Norway - 3. Division Avdeling 2,"['Staal Joerpeland', 'Vidar']","['3', '2']"
Norway - 3. Division Avdeling 2,"['Sandnes Ulf 2', 'Vindbjart']","['1', '1']"
Singapore - Premier League,"['Balestier Khalsa FC', 'Brunei DPMM']","['4', '2']"
South Korea - K3 League,"['Daejeon Korail', 'Changwon City']","['3', '3']"
Uruguay - Segunda Division,"['Plaza Colonia', 'Albion']","['0', '2']"
Uruguay - Segunda Division,"['Rentistas', 'La Luz']","['0', '0']"
Uruguay - Segunda Division,"['Oriental', 'Montevideo City Torque']","['-', '-']"
USA - USL Championship,"['Colorado Springs Switchbacks FC', 'FC Tulsa']","['1', '0']"
